,Unnamed: 0.1,Unnamed: 0,text,translated,tweetcreatedts,tweetid,week,cleaned_text_translated,cleaned_text,lemmas,adjs_verbs,nouns,entities,emojis,translated_lemmas,translated_adjs_verbs,translated_nouns,translated_entities,translated_emojis,lang,topics,Unnamed: 21,topics_robin
17943,17943,3943,"Литва не сможет передать Украине системы ПВО NASAMS, но даст снаряды для САУ PzH 2000 https://t.co/be0DsmrhgH #Russia #Ukraine","Lithuania will not be able to transfer NASAMS air defense systems to Ukraine, but will provide shells for the PzH 2000 self-propelled guns https://t.co/be0DsmrhgH #Russia #Ukraine",2022-11-21 12:21:36,1594667341551644928,2022-47,"lithuania will not be able to transfer nasams air defense systems to ukraine, but will provide shells for the pzh 2000 self-propelled guns    russia  ukraine","литва не сможет передать украине системы пво nasams, но даст снаряды для сау pzh 2000    russia  ukraine","['литва', 'смочь', 'передать', 'украина', 'система', 'пво', 'nasams', 'дать', 'снаряд', 'для', 'сау']","['смочь', 'передать', 'дать']","['литва', 'украина', 'система', 'пво', 'nasams', 'снаряд', 'сау']","['литва/LOC', 'украине/LOC']",[''],"['lithuania', 'able', 'transfer', 'nasam', 'air', 'defense', 'system', 'ukraine', 'provide', 'shell', 'for', 'pzh', 'self', 'propel', 'gun', 'russia', 'ukraine']","['able', 'transfer', 'ukraine', 'provide', 'propel', 'ukraine']","['lithuania', 'nasam', 'air', 'defense', 'system', 'shell', 'pzh', 'self', 'gun', 'russia']","['lithuania/GPE', '2000/DATE', 'russia/GPE', 'ukraine/GPE']",[''],ru,arms_delivery,,
17969,17969,3969,"#UkraineRussianWar 🕶️⚡️🇹🇷🇹🇷👍👍‼️ Турция поставила в Украину партию высокоточных ракет TRLG-230. Они запускаются с платформы разработки фирмы ROKETSAN. Дальность полета составляет 70 км, система наведения по лазерному лучу. Подсветку цели обеспечивает Bayraktar TB2. https://t.co/teMu0ftJHB","#UkraineRussianWar 🕶️⚡️🇹🇷🇹🇷👍👍‼️ Turkey delivered a batch of TRLG-230 high-precision missiles to Ukraine. They are launched from the ROKETSAN development platform. The flight range is 70 km, laser beam guidance system. Target illumination is provided by Bayraktar TB2. https://t.co/teMu0ftJHB",2022-11-23 08:46:20,1595337943375580928,2022-47,"ukrainerussianwar 🕶️⚡️🇹🇷🇹🇷👍👍‼️ turkey delivered a batch of trlg-230 high-precision missiles to ukraine. they are launched from the roketsan development platform. the flight range is 70 km, laser beam guidance system. target illumination is provided by bayraktar tb2.","ukrainerussianwar 🕶️⚡️🇹🇷🇹🇷👍👍‼️ турция поставила в украину партию высокоточных ракет trlg-230. они запускаются с платформы разработки фирмы roketsan. дальность полета составляет 70 км, система наведения по лазерному лучу. подсветку цели обеспечивает bayraktar tb2.","['турция', 'поставить', 'в', 'украина', 'партия', 'высокоточный', 'ракета', 'trlg-230', 'они', 'запускаться', 'с', 'платформа', 'разработка', 'фирма', 'roketsan', 'дальность', 'полёт', 'составлять', 'км', 'система', 'наведение', 'по', 'лазерный', 'луч', 'подсветка', 'цель', 'обеспечивать']","['поставить', 'высокоточный', 'запускаться', 'составлять', 'лазерный', 'обеспечивать']","['турция', 'украина', 'партия', 'ракета', 'trlg-230', 'платформа', 'разработка', 'фирма', 'roketsan', 'дальность', 'полёт', 'км', 'система', 'наведение', 'луч', 'подсветка', 'цель']","['турция/LOC', 'украину/LOC', 'roketsan/ORG', 'bayraktar_tb2/ORG']","['🕶️', '⚡', '🇹🇷', '🇹🇷', '👍', '👍', '‼️']","['ukrainerussianwar', '️', 'turkey', 'deliver', 'batch', 'of', 'trlg-230', 'high', 'precision', 'missile', 'ukraine', 'they', 'launch', 'from', 'roketsan', 'development', 'platform', 'flight', 'range', 'km', 'laser', 'beam', 'guidance', 'system', 'target', 'illumination', 'provide', 'by', 'bayraktar']","['deliver', 'trlg-230', 'high', 'ukraine', 'launch', 'provide']","['️', 'turkey', 'batch', 'precision', 'missile', 'roketsan', 'development', 'platform', 'flight', 'range', 'km', 'laser', 'beam', 'guidance', 'system', 'target', 'illumination', 'bayraktar']","['‼️/FAC', 'trlg-230/ORG', '70_km/QUANTITY']","['🕶️', '⚡', '🇹🇷', '🇹🇷', '👍', '👍', '‼️']",ru,arms_delivery,,
18002,18002,4002,"На позициях оккупантов в селе под Мелитополем ночью прогремело несколько мощных взрывов – #Федоров
#Украина #россия #ВСУ #война #агрессияроссии #вторжениероссии #stoprussia #войнасукраиной #Войнапутина
https://t.co/yQhhCUKvnV","Several powerful explosions occurred at the occupying positions in a village near Melitopol at night - #Fedorov
#Ukraine #Russia #APU #war #Russian aggression #Russian invasion #stoprussia #war with Ukraine #Putin's War
https://t.co/yQhhCUKvnV",2022-11-30 07:48:29,1597860100437602048,2022-48,several powerful explosions occurred at the occupying positions in a village near melitopol at night  fedorov  ukraine  russia  apu  war  russian aggression  russian invasion  stoprussia  war with ukraine  putin's war,на позициях оккупантов в селе под мелитополем ночью прогремело несколько мощных взрывов –  федоров  украина  россия  всу  война  агрессияроссии  вторжениероссии  stoprussia  войнасукраиной  войнапутина,"['на', 'позиция', 'оккупант', 'в', 'село', 'под', 'мелитополь', 'ночь', 'прогреметь', 'мощный', 'взрыв', 'фёдор', 'украина', 'россия', 'всу', 'война', 'агрессияроссии', 'вторжениероссии', 'войнасукраиной', 'войнапутина']","['прогреметь', 'мощный', 'войнасукраиной']","['позиция', 'оккупант', 'село', 'мелитополь', 'ночь', 'взрыв', 'фёдор', 'украина', 'россия', 'всу', 'война', 'агрессияроссии', 'вторжениероссии', 'войнапутина']","['украина/LOC', 'всу/ORG']",[''],"['several', 'powerful', 'explosion', 'occur', 'at', 'occupy', 'position', 'in', 'village', 'near', 'melitopol', 'at', 'night', 'fedorov', 'ukraine', 'russia', 'apu', 'war', 'russian', 'aggression', 'russian', 'invasion', 'stoprussia', 'war', 'with', 'ukraine', 'putin', 'war']","['several', 'powerful', 'occur', 'occupy', 'fedorov', 'russian', 'russian']","['explosion', 'position', 'village', 'melitopol', 'night', 'ukraine', 'russia', 'apu', 'war', 'aggression', 'invasion', 'stoprussia', 'war', 'ukraine', 'putin', 'war']","['night/TIME', 'ukraine/GPE', 'russia/GPE', 'russian/NORP', 'russian/NORP', 'putin/PERSON']",[''],ru,kriegsbeschreibung,,
18205,18205,4205,"@A_Ra_Berlin Я тщательно следил, и мне казалось, что он хотел повторить вариант с Грузией 2008 выставив Украину агрессором. И здесь Украина ни в какие ловушки не попала, все фейки были разоблачены мгновенно, в результате международную поддержку ничего не ограничило. Урок Саакашвили выучен.","@A_Ra_Berlin I watched carefully, and it seemed to me that he wanted to repeat the Georgia 2008 option by making Ukraine the aggressor. And here Ukraine did not fall into any traps, all the fakes were exposed instantly, and as a result, nothing limited international support. Saakashvili's lesson has been learned.",2022-12-12 20:43:47,1602403864346595072,2022-50,"i watched carefully, and it seemed to me that he wanted to repeat the georgia 2008 option by making ukraine the aggressor. and here ukraine did not fall into any traps, all the fakes were exposed instantly, and as a result, nothing limited international support. saakashvili's lesson has been learned.","я тщательно следил, и мне казалось, что он хотел повторить вариант с грузией 2008 выставив украину агрессором. и здесь украина ни в какие ловушки не попала, все фейки были разоблачены мгновенно, в результате международную поддержку ничего не ограничило. урок саакашвили выучен.","['я', 'тщательно', 'следить', 'мне', 'казаться', 'он', 'хотеть', 'повторить', 'вариант', 'с', 'грузия', 'выставить', 'украина', 'агрессор', 'здесь', 'украина', 'в', 'ловушка', 'попасть', 'фейк', 'разоблачить', 'мгновенно', 'в', 'результат', 'международный', 'поддержка', 'ничто', 'ограничить', 'урок', 'саакашвили', 'выучить']","['следить', 'казаться', 'хотеть', 'повторить', 'выставить', 'попасть', 'разоблачить', 'международный', 'ограничить', 'выучить']","['вариант', 'грузия', 'украина', 'агрессор', 'украина', 'ловушка', 'фейк', 'результат', 'поддержка', 'урок', 'саакашвили']","['грузией/LOC', 'украину/LOC', 'украина/LOC', 'саакашвили/PER']",[''],"['I', 'watch', 'carefully', 'it', 'seem', 'to', 'I', 'he', 'want', 'repeat', 'georgia', 'option', 'by', 'make', 'ukraine', 'aggressor', 'here', 'ukraine', 'fall', 'into', 'trap', 'fake', 'expose', 'instantly', 'as', 'result', 'nothing', 'limit', 'international', 'support', 'saakashvili', 'lesson', 'learn']","['watch', 'seem', 'want', 'repeat', 'make', 'ukraine', 'fall', 'expose', 'limit', 'international', 'learn']","['georgia', 'option', 'aggressor', 'ukraine', 'trap', 'fake', 'result', 'support', 'saakashvili', 'lesson']","['georgia/GPE', '2008/DATE', 'saakashvili/GPE']",[''],ru,unjustified_war,,
18220,18220,4220,Лидеры G7 заявили о непоколебимой поддержке Украины и пообещали системы ПВО https://t.co/AQ0gSlW1QW #Russia #Ukraine,G7 leaders expressed unwavering support for Ukraine and promised air defense systems https://t.co/AQ0gSlW1QW #Russia #Ukraine,2022-12-12 20:51:33,1602405820939264000,2022-50,g7 leaders expressed unwavering support for ukraine and promised air defense systems    russia  ukraine,лидеры g7 заявили о непоколебимой поддержке украины и пообещали системы пво    russia  ukraine,"['лидер', 'g7', 'заявить', 'о', 'непоколебимый', 'поддержка', 'украина', 'пообещать', 'система', 'пво']","['заявить', 'непоколебимый', 'пообещать']","['лидер', 'g7', 'поддержка', 'украина', 'система', 'пво']","['g7/ORG', 'украины/LOC']",[''],"['g7', 'leader', 'express', 'unwavere', 'support', 'for', 'ukraine', 'promise', 'air', 'defense', 'system', 'russia', 'ukraine']","['express', 'unwavere', 'promise', 'ukraine']","['g7', 'leader', 'support', 'ukraine', 'air', 'defense', 'system', 'russia']","['russia/GPE', 'ukraine/GPE']",[''],ru,arms_delivery,,
18241,18241,4241,"Немецкая компания Rheinmetall подтвердила заказ по изготовке двух систем ПВО Skynex для Украины, сообщает Handelsblatt
#Ukraine #Kherson #Крым #Dnipro #Wagner #Bakhmut #HIMARS #Kyiv #Belarus #Ukrainian #Moscow #Crimea #Donetsk #Bakhmut https://t.co/BSBOWCOaMJ","The German company Rheinmetall has confirmed an order for the production of two Skynex air defense systems for Ukraine, Handelsblatt reports.
#Ukraine #Kherson #Crimea #Dnipro #Wagner #Bakhmut #HIMARS #Kyiv #Belarus #Ukrainian #Moscow #Crimea #Donetsk #Bakhmut https://t.co/BSBOWCOaMJ",2022-12-12 15:11:21,1602320207451652096,2022-50,"the german company rheinmetall has confirmed an order for the production of two skynex air defense systems for ukraine, handelsblatt reports.  ukraine  kherson  crimea  dnipro  wagner  bakhmut  himars  kyiv  belarus  ukrainian  moscow  crimea  donetsk  bakhmut","немецкая компания rheinmetall подтвердила заказ по изготовке двух систем пво skynex для украины, сообщает handelsblatt  ukraine  kherson  крым  dnipro  wagner  bakhmut  himars  kyiv  belarus  ukrainian  moscow  crimea  donetsk  bakhmut","['немецкий', 'компания', 'rheinmetall', 'подтвердить', 'заказ', 'по', 'изготовка', 'система', 'пво', 'для', 'украина', 'сообщать', 'крым']","['немецкий', 'подтвердить', 'сообщать']","['компания', 'rheinmetall', 'заказ', 'изготовка', 'система', 'пво', 'украина', 'крым']","['rheinmetall/ORG', 'украины/LOC']",[''],"['german', 'company', 'rheinmetall', 'confirm', 'order', 'for', 'production', 'of', 'skynex', 'air', 'defense', 'system', 'for', 'ukraine', 'handelsblatt', 'report', 'ukraine', 'kherson', 'crimea', 'dnipro', 'wagner', 'bakhmut', 'himar', 'kyiv', 'belarus', 'ukrainian', 'moscow', 'crimea', 'donetsk', 'bakhmut']","['german', 'confirm', 'skynex', 'report', 'dnipro', 'bakhmut', 'kyiv', 'bakhmut']","['company', 'rheinmetall', 'order', 'production', 'air', 'defense', 'system', 'ukraine', 'handelsblatt', 'ukraine', 'kherson', 'crimea', 'wagner', 'himar', 'belarus', 'ukrainian', 'moscow', 'crimea']","['german/NORP', 'two/CARDINAL', 'ukraine/GPE', 'kherson/PERSON', 'moscow/GPE']",[''],ru,arms_delivery,,
23968,23968,2968,"В Ізюмі знайшли поховання цілої родини. Мова про сім'ю Столпакових: 31-річну Олену та 33-річного Дмитра, а також їхніх доньок 5-річну Лесю та 8-річну Сашу, а також бабусю (за іншими даними, дідусь також загинув)

#russiaisaterrorisstate #Izium #Ukraine️ #StopRussianAggression https://t.co/UCX2pXb5mo","The burial of an entire family was found in Izyum. We are talking about the Stolpakov family: 31-year-old Elena and 33-year-old Dmytro, as well as their daughters 5-year-old Lesya and 8-year-old Sasha, as well as their grandmother (according to other data, the grandfather also died)

#russiaisaterrorisstate #Izium #Ukraine️ #StopRussianAggression https://t.co/UCX2pXb5mo",2022-09-17 15:21:47,1571157477122575872,2022-37,"the burial of an entire family was found in izyum. we are talking about the stolpakov family: 31-year-old elena and 33-year-old dmytro, as well as their daughters 5-year-old lesya and 8-year-old sasha, as well as their grandmother (according to other data, the grandfather also died)  russiaisaterrorisstate  izium  ukraine️  stoprussianaggression","в ізюмі знайшли поховання цілої родини. мова про сім'ю столпакових: 31-річну олену та 33-річного дмитра, а також їхніх доньок 5-річну лесю та 8-річну сашу, а також бабусю (за іншими даними, дідусь також загинув)  russiaisaterrorisstate  izium  ukraine️  stoprussianaggression","['в', 'ізюм', 'знайти', 'поховання', 'цілий', 'родина', 'мова', 'про', '""сімя""', 'столпакових', '31-річну', 'олена', '33-річного', 'дмитро', 'також', 'донька', '5-річну', 'леся', '8-річну', 'саша', 'також', 'бабуся', 'за', 'дані', 'дідусь', 'також', 'загинути']","['знайти', 'цілий', 'столпакових', '31-річну', '33-річного', '5-річну', '8-річну', 'загинути']","['ізюм', 'поховання', 'родина', 'мова', '""сімя""', 'олена', 'дмитро', 'донька', 'леся', 'саша', 'бабуся', 'дані', 'дідусь']",['дмитра/PER'],[''],"['burial', 'of', 'entire', 'family', 'find', 'in', 'izyum', 'we', 'talk', 'about', 'stolpakov', 'family', 'year', 'old', 'elena', 'year', 'old', 'dmytro', 'as', 'well', 'as', 'their', 'daughter', 'year', 'old', 'lesya', 'year', 'old', 'sasha', 'as', 'well', 'as', 'their', 'grandmother', 'accord', 'to', 'other', 'datum', 'grandfather', 'also', 'die', 'russiaisaterrorisstate', 'izium', 'ukraine️', 'stoprussianaggression']","['entire', 'find', 'talk', 'old', 'old', 'old', 'old', 'accord', 'other', 'die', 'russiaisaterrorisstate']","['burial', 'family', 'izyum', 'stolpakov', 'family', 'year', 'elena', 'year', 'dmytro', 'daughter', 'year', 'lesya', 'year', 'sasha', 'grandmother', 'datum', 'grandfather', 'izium', 'stoprussianaggression']",[''],[''],uk,people_killed,,
24002,24002,3002,"🇺🇸Конгрес США доручив Пентагону прискорити постачання великих безпілотників для України

#RussiaInvadedUkraine #RussiaisATerroistState #USA #Ukraine️ https://t.co/wXUEt5ePm7","🇺🇸The US Congress instructed the Pentagon to accelerate the delivery of large drones to Ukraine

#RussiaInvadedUkraine #RussiaisATerroistState #USA #Ukraine️ https://t.co/wXUEt5ePm7",2022-09-23 06:11:43,1573193372323528960,2022-38,🇺🇸the us congress instructed the pentagon to accelerate the delivery of large drones to ukraine  russiainvadedukraine  russiaisaterroiststate  usa  ukraine️,🇺🇸конгрес сша доручив пентагону прискорити постачання великих безпілотників для україни  russiainvadedukraine  russiaisaterroiststate  usa  ukraine️,"['конгрес', 'сша', 'доручити', 'пентагон', 'прискорити', 'постачання', 'великий', 'безпілотник', 'для', 'україна']","['доручити', 'прискорити', 'великий']","['конгрес', 'сша', 'пентагон', 'постачання', 'безпілотник', 'україна']",['україни/LOC'],['🇺🇸'],"['us', 'congress', 'instruct', 'pentagon', 'accelerate', 'delivery', 'of', 'large', 'drone', 'ukraine', 'russiainvadedukraine', 'russiaisaterroiststate', 'usa', 'ukraine️']","['instruct', 'accelerate', 'large']","['us', 'congress', 'pentagon', 'delivery', 'drone', 'ukraine', 'russiainvadedukraine', 'russiaisaterroiststate', 'usa']",['pentagon/ORG'],['🇺🇸'],uk,arms_delivery,,
24041,24041,3041,"Всього було виявлено 447 загиблих. Серед них – 425 цивільних та 22 військових ЗСУ. 

#stoprussia

https://t.co/DuYdDj2LJR","A total of 447 dead were found. Among them are 425 civilians and 22 soldiers of the Armed Forces of Ukraine.

#stoprussia

https://t.co/DuYdDj2LJR",2022-09-23 19:43:55,1573397771025264896,2022-38,a total of 447 dead were found. among them are 425 civilians and 22 soldiers of the armed forces of ukraine.  stoprussia,всього було виявлено 447 загиблих. серед них – 425 цивільних та 22 військових зсу.  stoprussia,"['все', 'виявити', 'загиблих', 'серед', 'вони', 'цивільний', 'військовий', 'зсу']","['виявити', 'цивільний', 'військовий']","['загиблих', 'зсу']",['зсу/ORG'],[''],"['total', 'of', 'dead', 'find', 'among', 'they', 'civilian', 'soldier', 'of', 'armed', 'force', 'of', 'ukraine', 'stoprussia']","['dead', 'find', 'armed']","['total', 'civilian', 'soldier', 'force', 'ukraine', 'stoprussia']","['447/CARDINAL', '425/CARDINAL', '22/CARDINAL', 'ukraine_/GPE', 'stoprussia/PERSON']",[''],uk,people_killed,,
24060,24060,3060,"Єврокомісія наголошує на тому, що імпорт з Росії та транзит деяких нафтопродуктів слід дозволити для запевнення продовольчої та енергетичної безпеки у світі. Проти такого рішення виступають у першу чергу Польща та країни Балтії
#StopRussia #StopPutin
https://t.co/vOEGDCc3rk","The European Commission emphasizes that the import from Russia and the transit of some oil products should be allowed to ensure food and energy security in the world. First of all, Poland and the Baltic states oppose such a decision
#StopRussia #StopPutin
https://t.co/vOEGDCc3rk",2022-09-21 09:35:32,1572519891147836928,2022-38,"the european commission emphasizes that the import from russia and the transit of some oil products should be allowed to ensure food and energy security in the world. first of all, poland and the baltic states oppose such a decision  stoprussia  stopputin","єврокомісія наголошує на тому, що імпорт з росії та транзит деяких нафтопродуктів слід дозволити для запевнення продовольчої та енергетичної безпеки у світі. проти такого рішення виступають у першу чергу польща та країни балтії  stoprussia  stopputin","['єврокомісія', 'наголошувати', 'на', 'той', 'імпорт', 'з', 'росія', 'транзит', 'нафтопродукт', 'слід', 'дозволити', 'для', 'запевнення', 'продовольчий', 'енергетичний', 'безпека', 'у', 'світ', 'проти', 'рішення', 'виступати', 'у', 'перший', 'черга', 'польща', 'країна', 'балтія']","['наголошувати', 'дозволити', 'продовольчий', 'енергетичний', 'виступати', 'перший']","['єврокомісія', 'імпорт', 'росія', 'транзит', 'нафтопродукт', 'запевнення', 'безпека', 'світ', 'рішення', 'черга', 'польща', 'країна', 'балтія']","['єврокомісія/ORG', 'росії/LOC', 'польща/LOC', 'балтії/LOC']",[''],"['european', 'commission', 'emphasize', 'import', 'from', 'russia', 'transit', 'of', 'oil', 'product', 'allow', 'ensure', 'food', 'energy', 'security', 'in', 'world', 'first', 'of', 'all', 'poland', 'baltic', 'state', 'oppose', 'decision', 'stoprussia', 'stopputin']","['emphasize', 'allow', 'ensure', 'baltic', 'oppose']","['european', 'commission', 'import', 'russia', 'transit', 'oil', 'product', 'food', 'energy', 'security', 'world', 'poland', 'state', 'decision', 'stoprussia', 'stopputin']","['russia/GPE', 'first/ORDINAL', 'poland/GPE']",[''],uk,sanctions,,
24115,24115,3115,"Фрагменти тіла дитини знайшли на місці ракетного удару у Дніпрі 
https://t.co/5aw3iLOKjo

#Ukraine #Dnipro","Fragments of a child's body were found at the site of a rocket attack in Dnipro
https://t.co/5aw3iLOKjo

#Ukraine #Dnipro",2022-09-29 11:06:29,1575441883286934016,2022-39,fragments of a child's body were found at the site of a rocket attack in dnipro    ukraine  dnipro,фрагменти тіла дитини знайшли на місці ракетного удару у дніпрі    ukraine  dnipro,"['фрагмент', 'тіло', 'дитина', 'знайти', 'на', 'місце', 'ракетний', 'удар', 'у', 'дніпро']","['знайти', 'ракетний']","['фрагмент', 'тіло', 'дитина', 'місце', 'удар', 'дніпро']",['дніпрі/LOC'],[''],"['fragment', 'of', 'child', 'body', 'find', 'at', 'site', 'of', 'rocket', 'attack', 'in', 'dnipro', 'ukraine', 'dnipro']","['find', 'dnipro']","['fragment', 'child', 'body', 'site', 'rocket', 'attack', 'ukraine', 'dnipro']",[''],[''],uk,people_killed,,
24165,24165,3165,"Немає жодного покоління українського народу, яке б не страждало від руки росіян.Від усвідомлення цього, так болить, що часто здається наче це пекло не закінчиться. Наче це пекло і є самим життям.",There is not a single generation of the Ukrainian people that has not suffered at the hands of the Russians. The realization of this hurts so much that it often seems as if this hell will never end. As if this hell is life itself.,2022-09-30 11:32:35,1575810838031920896,2022-39,there is not a single generation of the ukrainian people that has not suffered at the hands of the russians. the realization of this hurts so much that it often seems as if this hell will never end. as if this hell is life itself.,"немає жодного покоління українського народу, яке б не страждало від руки росіян.від усвідомлення цього, так болить, що часто здається наче це пекло не закінчиться. наче це пекло і є самим життям.","['немає', 'покоління', 'український', 'народ', 'страждати', 'від', 'рука', 'росіян.від', 'усвідомлення', 'це', 'так', 'боліти', 'часто', 'здаватися', 'пекло', 'закінчитися', 'це', 'пекло', 'життя']","['немає', 'український', 'страждати', 'боліти', 'здаватися', 'закінчитися']","['покоління', 'народ', 'рука', 'усвідомлення', 'пекло', 'пекло', 'життя']",[''],[''],"['there', 'be', 'single', 'generation', 'of', 'ukrainian', 'people', 'that', 'suffer', 'at', 'hand', 'of', 'russians', 'realization', 'of', 'this', 'hurt', 'so', 'much', 'it', 'often', 'seem', 'hell', 'never', 'end', 'hell', 'life', 'itself']","['be', 'single', 'ukrainian', 'suffer', 'hurt', 'seem', 'end']","['generation', 'people', 'hand', 'russians', 'realization', 'hell', 'hell', 'life']",['russians/NORP'],[''],uk,unjustified_war,,
24173,24173,3173,"Терористична організація ""росія"" залпом з ракет С-300 обстріляла колонну людей що прямувала на окуповану територію до родичів, вбила десятки цивільних. 
Коли буде створено спеціальних трибунал для визнання злочинним режиму цих покидьків?
#russiaisateroriststate 
#Russia 
#Ukraine","The terrorist organization ""Russia"" fired a volley of S-300 missiles at a convoy of people heading to the occupied territory to visit their relatives, killing dozens of civilians.
When will a special tribunal be created to criminalize the regime of these scum?
#russiaisaterroriststate
#Russia
#Ukraine",2022-09-30 08:15:46,1575761305176509952,2022-39,"the terrorist organization ""russia"" fired a volley of s-300 missiles at a convoy of people heading to the occupied territory to visit their relatives, killing dozens of civilians. when will a special tribunal be created to criminalize the regime of these scum?  russiaisaterroriststate  russia  ukraine","терористична організація ""росія"" залпом з ракет с-300 обстріляла колонну людей що прямувала на окуповану територію до родичів, вбила десятки цивільних. коли буде створено спеціальних трибунал для визнання злочинним режиму цих покидьків?  russiaisateroriststate  russia  ukraine","['терористичний', 'організація', 'росія', 'залп', 'з', 'ракета', 'обстріляти', 'колонний', 'людина', 'прямувати', 'на', 'окупований', 'територія', 'до', 'родич', 'вбити', 'десятка', 'цивільний', 'коли', 'створити', 'спеціальний', 'трибунал', 'для', 'визнання', 'злочинний', 'режим', 'покидьок']","['терористичний', 'обстріляти', 'колонний', 'прямувати', 'окупований', 'вбити', 'цивільний', 'створити', 'спеціальний', 'злочинний']","['організація', 'росія', 'залп', 'ракета', 'людина', 'територія', 'родич', 'десятка', 'трибунал', 'визнання', 'режим', 'покидьок']",['росія/ORG'],[''],"['terrorist', 'organization', 'russia', 'fire', 'volley', 'of', 's-300', 'missile', 'at', 'convoy', 'of', 'people', 'head', 'to', 'occupy', 'territory', 'visit', 'their', 'relative', 'kill', 'dozen', 'of', 'civilian', 'special', 'tribunal', 'create', 'criminalize', 'regime', 'of', 'scum', 'russiaisaterroriststate', 'russia', 'ukraine']","['terrorist', 'fire', 's-300', 'head', 'occupy', 'visit', 'kill', 'special', 'create', 'criminalize', 'russiaisaterroriststate', 'ukraine']","['organization', 'russia', 'volley', 'missile', 'convoy', 'people', 'territory', 'relative', 'dozen', 'civilian', 'tribunal', 'regime', 'scum', 'russia']","['russia/GPE', 's-300/CARDINAL', 'dozens/CARDINAL', 'russia/GPE', 'ukraine/GPE']",[''],uk,unjustified_war,,
24266,24266,3266,"F-16 з напів-стелс ракетами AGM-158 дальністю 370км, 925км і 1900км залежно від модифікації.
Uncle Joe, please! @POTUS
#UkraineWar #F16forUkraine #AGM158forUkraine #armukrainanow https://t.co/4I6PZ1Oz9y","F-16 with semi-stealth AGM-158 missiles with a range of 370 km, 925 km and 1900 km depending on the modification.
Uncle Joe, please! @POTUS
#UkraineWar #F16forUkraine #AGM158forUkraine #armukrainanow https://t.co/4I6PZ1Oz9y",2022-10-05 12:55:49,1577643721323053056,2022-40,"f-16 with semi-stealth agm-158 missiles with a range of 370 km, 925 km and 1900 km depending on the modification. uncle joe, please!   ukrainewar  f16forukraine  agm158forukraine  armukrainanow","f-16 з напів-стелс ракетами agm-158 дальністю 370км, 925км і 1900км залежно від модифікації. uncle joe, please!   ukrainewar  f16forukraine  agm158forukraine  armukrainanow","['з', 'напів', 'стелс', 'ракета', 'дальність', 'км', 'км', 'км', 'залежно', 'від', 'модифікація']",[''],"['напів', 'стелс', 'ракета', 'дальність', 'км', 'км', 'км', 'модифікація']",[''],[''],"['f-16', 'with', 'semi', '-', 'stealth', 'agm-158', 'missile', 'with', 'range', 'of', 'km', 'km', 'km', 'depend', 'on', 'modification', 'uncle', 'joe', 'please', 'ukrainewar', 'f16forukraine', 'agm158forukraine', 'armukrainanow']","['semi', '-', 'stealth', 'depend', 'ukrainewar']","['f-16', 'agm-158', 'missile', 'range', 'km', 'km', 'km', 'modification', 'uncle', 'joe', 'f16forukraine', 'agm158forukraine', 'armukrainanow']","['370_km/QUANTITY', '925_km/QUANTITY', '1900_km/QUANTITY', 'uncle_joe/PERSON']",[''],uk,arms_delivery,,
30909,30909,2909,Europe is slowly losing their standard of living. The sanction is damaging the economy. blowback Russian sanction.#SHUTDOWN .#EuroBasket .#NATO .#Russia .,Europe is slowly losing their standard of living. The sanction is damaging the economy. blowback Russian sanction.#SHUTDOWN .#EuroBasket .#NATO .#Russia .,2022-09-17 02:09:48,1570958167781309952,2022-37,europe is slowly losing their standard of living. the sanction is damaging the economy. blowback russian sanction. shutdown . eurobasket . nato . russia .,europe is slowly losing their standard of living. the sanction is damaging the economy. blowback russian sanction. shutdown . eurobasket . nato . russia .,"['europe', 'slowly', 'lose', 'their', 'standard', 'of', 'living', 'sanction', 'damage', 'economy', 'blowback', 'russian', 'sanction', 'shutdown', 'eurobasket', 'nato', 'russia']","['lose', 'damage', 'russian']","['europe', 'standard', 'living', 'sanction', 'economy', 'blowback', 'sanction', 'shutdown', 'eurobasket', 'nato', 'russia']","['europe/LOC', 'russian/NORP', 'nato/ORG', 'russia/GPE']",[''],"['europe', 'slowly', 'lose', 'their', 'standard', 'of', 'living', 'sanction', 'damage', 'economy', 'blowback', 'russian', 'sanction', 'shutdown', 'eurobasket', 'nato', 'russia']","['lose', 'damage', 'russian']","['europe', 'standard', 'living', 'sanction', 'economy', 'blowback', 'sanction', 'shutdown', 'eurobasket', 'nato', 'russia']","['europe/LOC', 'russian/NORP', 'nato/ORG', 'russia/GPE']",[''],en,sanctions,,
