,uk,es,it,de,en,fr,ru
take shelter,9764.0,0.0,0.0,0.0,0.0,0.0,0.0
light,9493.0,3874.0,3823.0,2157.0,31285.0,1597.0,2696.0
help,9613.0,451.0,11661.0,18569.0,73541.0,16377.0,5333.0
russian federation,9300.0,81.0,273.0,0.0,0.0,52.0,64.0
video,9534.0,21992.0,11951.0,10677.0,231785.0,15168.0,9624.0
kherson,9696.0,11650.0,17261.0,19758.0,224345.0,22802.0,7522.0
rock,9256.0,904.0,414.0,0.0,15762.0,324.0,135.0
victory,8492.0,7775.0,8282.0,8040.0,67931.0,7754.0,3272.0
head,11585.0,2748.0,6589.0,4391.0,86319.0,6038.0,2108.0
question,8863.0,1538.0,5031.0,408.0,59225.0,11072.0,3281.0
dnipro,8184.0,729.0,1273.0,1132.0,14901.0,2214.0,200.0
putin,9206.0,147473.0,306255.0,428450.0,1581936.0,21250.0,24108.0
?,7933.0,0.0,217.0,0.0,6166.0,0.0,0.0
place,7979.0,10895.0,10308.0,4424.0,101076.0,19508.0,3763.0
friend,8205.0,6073.0,12834.0,12274.0,111818.0,8326.0,2260.0
woman,8218.0,75.0,11201.0,26366.0,185743.0,125.0,2866.0
morning,8082.0,380.0,4000.0,2351.0,90326.0,7718.0,3134.0
ukrainian war,7574.0,227.0,6735.0,68747.0,0.0,0.0,0.0
shelling,7569.0,0.0,0.0,0.0,32074.0,199.0,5003.0
house,11208.0,90.0,74.0,5111.0,98197.0,5432.0,6573.0
invasion of russia,7383.0,0.0,0.0,0.0,0.0,0.0,0.0
history,7358.0,11906.0,16808.0,566.0,115432.0,12816.0,40.0
hero,8000.0,3186.0,5370.0,3182.0,70665.0,3443.0,2329.0
money,7556.0,5729.0,12721.0,19082.0,182709.0,9821.0,2732.0
mariupol,7931.0,22572.0,33654.0,21744.0,202190.0,13994.0,7276.0
month,7115.0,12046.0,14289.0,12695.0,124619.0,13008.0,2695.0
boy,9224.0,977.0,54.0,521.0,35634.0,869.0,2118.0
opinion,6896.0,3742.0,4832.0,12532.0,38116.0,2919.0,1244.0
zelenskyi,6810.0,78.0,73.0,489.0,1779.0,227.0,0.0
military,6841.0,7002.0,4668.0,8638.0,101561.0,7803.0,4939.0
president,6833.0,45084.0,33808.0,25843.0,330946.0,37988.0,0.0
hour,6698.0,14304.0,0.0,5519.0,62061.0,8756.0,2330.0
shock,7142.0,913.0,810.0,406.0,8636.0,1353.0,350.0
god,6752.0,938.0,3475.0,3472.0,90451.0,2829.0,2676.0
language,6486.0,1683.0,487.0,3239.0,29258.0,2538.0,1585.0
support,6629.0,13288.0,11774.0,19136.0,200884.0,20170.0,2730.0
territory,6210.0,14060.0,12498.0,3345.0,95007.0,11193.0,5111.0
russian aggression,6250.0,0.0,0.0,137.0,0.0,0.0,0.0
girl,7726.0,732.0,74.0,1443.0,47719.0,2855.0,950.0
army,6395.0,23233.0,16082.0,20602.0,209266.0,43925.0,12819.0
week,6134.0,10420.0,8216.0,13866.0,132667.0,9937.0,0.0
song,6082.0,3609.0,6126.0,2123.0,35535.0,1258.0,1335.0
enemy,6960.0,4060.0,5696.0,6033.0,75831.0,4243.0,3637.0
thing,7195.0,0.0,90.0,1593.0,150810.0,11060.0,1026.0
area,7126.0,4202.0,10640.0,15759.0,98590.0,7935.0,5492.0
crimea,5738.0,1582.0,10469.0,14582.0,112462.0,10204.0,7584.0
earth,5645.0,139.0,6317.0,2539.0,32912.0,5166.0,3346.0
mother,5883.0,4985.0,3304.0,1957.0,43545.0,2628.0,2658.0
usa,5514.0,67831.0,24107.0,86746.0,783256.0,16264.0,9051.0
terrorist,5495.0,2790.0,5406.0,2967.0,68156.0,2102.0,2280.0
anxiety,5996.0,180.0,641.0,0.0,4052.0,0.0,1142.0
all,5844.0,702.0,1313.0,0.0,0.0,1246.0,62.0
hand,5466.0,5286.0,11904.0,8001.0,71904.0,6294.0,2448.0
kharkiv,6194.0,9622.0,9159.0,8449.0,150160.0,10395.0,6048.0
%,5305.0,0.0,0.0,18535.0,219003.0,0.0,0.0
a tweet,5550.0,0.0,0.0,0.0,0.0,0.0,0.0
weapon,5293.0,28371.0,59669.0,53462.0,250702.0,1023.0,5179.0
night,5333.0,71.0,5042.0,6568.0,76612.0,4781.0,3127.0
mr.,5140.0,0.0,0.0,0.0,0.0,2438.0,57.0
troops,4974.0,57.0,0.0,0.0,0.0,0.0,0.0
type,5319.0,0.0,0.0,4312.0,20911.0,235.0,919.0
defender,5536.0,182.0,1452.0,1375.0,37279.0,1810.0,1799.0
situation,5009.0,9801.0,10227.0,8095.0,84093.0,14233.0,2931.0
...,4786.0,0.0,0.0,0.0,0.0,0.0,0.0
case,7964.0,8413.0,11930.0,10400.0,74379.0,8908.0,4099.0
water,4967.0,4399.0,68.0,2684.0,54235.0,4104.0,2012.0
death,5040.0,9345.0,7230.0,6891.0,112446.0,930.0,3320.0
bahmut,4650.0,0.0,0.0,106.0,0.0,0.0,0.0
explosion,4623.0,0.0,5389.0,4127.0,60182.0,0.0,3558.0
problem,5054.0,6032.0,12272.0,14865.0,70907.0,0.0,1926.0
center,4692.0,9087.0,7496.0,3202.0,44462.0,7247.0,2791.0
beginning,4528.0,2216.0,0.0,10298.0,25005.0,12046.0,0.0
eye,4605.0,3247.0,4675.0,5177.0,44541.0,4581.0,1434.0
part,4645.0,22649.0,38794.0,14603.0,150629.0,9447.0,3278.0
state,8810.0,28112.0,21535.0,1165.0,225559.0,24738.0,3484.0
..,4449.0,0.0,187.0,2810.0,2906.0,0.0,0.0
right,4442.0,7811.0,17024.0,15198.0,109735.0,16656.0,1971.0
cue,4334.0,0.0,151.0,0.0,1212.0,0.0,20.0
zaporizhzhia,4329.0,1786.0,4817.0,669.0,45075.0,1485.0,0.0
one thousand,4327.0,0.0,0.0,0.0,0.0,0.0,0.0
moment,4858.0,12633.0,11928.0,4731.0,58261.0,12192.0,2072.0
poland,4320.0,15377.0,13773.0,22215.0,165444.0,6378.0,2642.0
action,5441.0,7005.0,6588.0,4268.0,98047.0,6570.0,3068.0
coffee,4281.0,584.0,780.0,627.0,13884.0,557.0,393.0
information,4168.0,12522.0,7670.0,4498.0,63953.0,21516.0,2445.0
truth,4400.0,143.0,8259.0,8070.0,98519.0,5559.0,1903.0
affection,4026.0,0.0,184.0,0.0,0.0,59.0,0.0
warning,4263.0,1795.0,828.0,1439.0,18920.0,572.0,194.0
defense,4011.0,0.0,0.0,5924.0,143411.0,18242.0,3028.0
uah,6171.0,0.0,0.0,0.0,1881.0,0.0,628.0
street,3872.0,5068.0,18608.0,5818.0,53002.0,3994.0,2018.0
police,3824.0,3950.0,2706.0,10427.0,61123.0,2706.0,1258.0
rashist,3727.0,0.0,0.0,0.0,5212.0,85.0,0.0
era,3857.0,0.0,1391.0,323.0,16733.0,1705.0,235.0
price,3801.0,8925.0,9078.0,7402.0,141120.0,12354.0,2704.0
village,4270.0,818.0,50400.0,2458.0,43905.0,3635.0,2631.0
warrior,3810.0,716.0,275.0,159.0,16354.0,449.0,1005.0
crime,3613.0,11075.0,11192.0,6526.0,162635.0,13426.0,4775.0
border,3723.0,8137.0,1440.0,11685.0,115365.0,8482.0,2693.0
couple,3607.0,954.0,738.0,115.0,17802.0,769.0,84.0
odesa,4090.0,0.0,252.0,627.0,31134.0,282.0,0.0
number,5612.0,4655.0,5758.0,6376.0,69826.0,7020.0,2740.0
possibility,3500.0,2480.0,3392.0,4105.0,13196.0,1645.0,0.0
channel,3545.0,4543.0,4966.0,1990.0,39115.0,807.0,3129.0
front,3483.0,0.0,70.0,9721.0,52693.0,0.0,2672.0
fact,3472.0,4185.0,162.0,5649.0,81365.0,110.0,1372.0
machinery,3463.0,448.0,63.0,0.0,1990.0,0.0,0.0
norm,3424.0,0.0,538.0,0.0,3618.0,0.0,832.0
mrs.,3409.0,0.0,0.0,0.0,0.0,0.0,0.0
february,3408.0,4452.0,5023.0,5017.0,33695.0,6199.0,1466.0
detail,3365.0,8316.0,2024.0,2137.0,41531.0,1689.0,884.0
end,3836.0,10588.0,17269.0,20403.0,93619.0,15409.0,2495.0
europe,3496.0,32833.0,40807.0,45182.0,297892.0,46231.0,3358.0
school,3404.0,4867.0,5243.0,4226.0,68916.0,3975.0,1899.0
system,3714.0,10051.0,7435.0,4379.0,116346.0,7167.0,2359.0
level,3377.0,5625.0,5391.0,3309.0,52244.0,5101.0,1300.0
nato,3316.0,13508.0,0.0,101851.0,743582.0,44894.0,5270.0
evening,3339.0,7011.0,7160.0,1920.0,19159.0,10338.0,1204.0
machine,3268.0,534.0,1355.0,542.0,27940.0,1493.0,432.0
dance,3782.0,673.0,1893.0,146.0,7619.0,459.0,191.0
answer,3301.0,5861.0,6807.0,7008.0,24191.0,5901.0,1428.0
plan,3326.0,6424.0,3391.0,6430.0,79813.0,6893.0,2289.0
twitter,6407.0,971.0,896.0,4614.0,123355.0,540.0,1583.0
game,3314.0,15723.0,3918.0,4676.0,81153.0,5196.0,121.0
direction,3599.0,0.0,2792.0,6648.0,36504.0,3418.0,4029.0
intrusion,3126.0,0.0,0.0,0.0,0.0,54.0,0.0
drone,4537.0,8888.0,7051.0,2744.0,131021.0,8098.0,4290.0
attack,4019.0,158.0,25679.0,28122.0,230372.0,15323.0,3262.0
gathering,3112.0,173.0,214.0,0.0,2965.0,1861.0,109.0
ppo,3082.0,0.0,0.0,0.0,0.0,0.0,69.0
azov,3736.0,3685.0,2483.0,4204.0,50396.0,10713.0,4472.0
company,3275.0,9247.0,3719.0,7200.0,97747.0,6020.0,2966.0
phone,3066.0,865.0,69.0,478.0,28613.0,1173.0,0.0
loss,3367.0,3280.0,3534.0,5258.0,64996.0,5689.0,88.0
minute,3045.0,5223.0,3890.0,2690.0,34583.0,3157.0,1011.0
lviv,5857.0,859.0,520.0,2023.0,38544.0,2630.0,567.0
heart,3336.0,2446.0,4432.0,2646.0,55308.0,4233.0,1077.0
film,3345.0,209.0,60.0,0.0,21096.0,0.0,73.0
top,3521.0,1622.0,567.0,492.0,17409.0,686.0,786.0
storage,3167.0,327.0,395.0,307.0,10720.0,375.0,230.0
bridge,3136.0,5741.0,5249.0,1899.0,49628.0,4915.0,2750.0
item,2945.0,234.0,7301.0,0.0,17855.0,0.0,207.0
consequence,2935.0,5519.0,5458.0,13249.0,36674.0,0.0,1852.0
body,2961.0,3730.0,3897.0,757.0,54624.0,3471.0,1594.0
side,5100.0,6322.0,1381.0,0.0,88343.0,11816.0,3540.0
position,3722.0,10936.0,8818.0,17486.0,73514.0,7775.0,3522.0
minister,2945.0,15218.0,15304.0,2435.0,140590.0,15862.0,2365.0
security,2835.0,12512.0,140.0,7645.0,143799.0,10398.0,712.0
father,3206.0,3095.0,2768.0,2000.0,24281.0,2028.0,838.0
topic,2937.0,0.0,0.0,119.0,12863.0,0.0,0.0
orc,2803.0,721.0,1019.0,633.0,7697.0,377.0,2516.0
es,2788.0,2348.0,0.0,0.0,0.0,0.0,0.0
desire,2943.0,1044.0,0.0,1961.0,7607.0,463.0,0.0
decision,2782.0,5215.0,4802.0,7512.0,59950.0,5346.0,0.0
result,3349.0,6065.0,4065.0,4390.0,66593.0,9967.0,4414.0
freedom,2753.0,7262.0,11833.0,15773.0,120994.0,9164.0,0.0
nation,2921.0,5615.0,6878.0,4196.0,113439.0,5445.0,808.0
road,2750.0,1578.0,0.0,0.0,34268.0,3514.0,1647.0
brigade,2746.0,1757.0,1634.0,733.0,33721.0,2526.0,2491.0
west,2862.0,14370.0,18374.0,32818.0,175013.0,15357.0,2484.0
tape,2803.0,256.0,237.0,566.0,3536.0,0.0,0.0
feeling,3737.0,548.0,598.0,2230.0,11664.0,1084.0,747.0
holiday,2849.0,52.0,67.0,609.0,27533.0,1383.0,903.0
hell,3089.0,1286.0,1495.0,2271.0,48145.0,1635.0,1396.0
council,2787.0,0.0,71.0,104.0,48546.0,0.0,0.0
sky,2708.0,237.0,2466.0,218.0,38190.0,1719.0,1414.0
plane,2734.0,8605.0,0.0,0.0,37651.0,8562.0,0.0
mood,2666.0,116.0,83.0,1757.0,5992.0,208.0,706.0
glory to ukraine,2824.0,0.0,0.0,0.0,0.0,0.0,1468.0
peace,2777.0,20860.0,44786.0,36178.0,228144.0,24164.0,189.0
book,4393.0,2847.0,3994.0,2381.0,47949.0,3557.0,1111.0
volodymyr,2648.0,744.0,2377.0,3143.0,29412.0,4100.0,65.0
apartment,2648.0,758.0,492.0,2239.0,17876.0,601.0,1361.0
the dead,2688.0,0.0,0.0,0.0,0.0,0.0,0.0
march,2873.0,6549.0,4952.0,4973.0,61682.0,7094.0,1912.0
"""memory""",2595.0,0.0,0.0,0.0,0.0,0.0,0.0
birth,2588.0,623.0,482.0,0.0,7964.0,391.0,747.0
internet,2931.0,1566.0,1192.0,1349.0,30663.0,2002.0,905.0
"""name""",2565.0,0.0,0.0,0.0,0.0,0.0,0.0
germany,2679.0,20543.0,11947.0,118465.0,356672.0,11418.0,3333.0
window,2528.0,741.0,938.0,1424.0,16036.0,727.0,709.0
pain,2574.0,1848.0,0.0,595.0,20182.0,493.0,546.0
the main thing,2494.0,0.0,0.0,0.0,0.0,0.0,0.0
soul,2493.0,1086.0,1669.0,987.0,18415.0,820.0,909.0
"""connection""",2806.0,0.0,0.0,0.0,0.0,0.0,0.0
citizen,2543.0,7787.0,9064.0,851.0,95324.0,4708.0,2357.0
flag,2523.0,5894.0,7413.0,3581.0,67311.0,5217.0,1648.0
course,3579.0,2788.0,5152.0,2204.0,46166.0,7235.0,0.0
azovstal,2440.0,106.0,1001.0,0.0,3700.0,1082.0,789.0
inhabitant,4079.0,0.0,1973.0,0.0,3077.0,6542.0,5435.0
"""family""",2416.0,0.0,0.0,0.0,0.0,0.0,0.0
dog,3496.0,2520.0,2063.0,1157.0,43128.0,1514.0,1372.0
majority,2395.0,0.0,3470.0,4647.0,20831.0,2626.0,812.0
fighter,2562.0,2401.0,1860.0,2514.0,70466.0,3292.0,4564.0
moscow,3338.0,19217.0,643.0,21709.0,171601.0,18808.0,7690.0
music,2368.0,2789.0,2722.0,1361.0,55785.0,1899.0,549.0
person,2639.0,22646.0,21772.0,74788.0,57762.0,19785.0,0.0
office,2867.0,2126.0,2109.0,1284.0,53949.0,1001.0,840.0
idea,2575.0,2905.0,6470.0,7551.0,47104.0,3761.0,864.0
fight,2385.0,797.0,0.0,3167.0,51031.0,13095.0,133.0
million,4186.0,20053.0,12583.0,16158.0,41517.0,13309.0,3711.0
sleep,2705.0,0.0,557.0,263.0,6348.0,402.0,84.0
link,2676.0,3094.0,2550.0,430.0,78727.0,4063.0,1133.0
nicholas,2665.0,701.0,0.0,119.0,1427.0,333.0,0.0
sex,2745.0,321.0,400.0,201.0,9893.0,291.0,429.0
love,3285.0,4425.0,2843.0,1723.0,88368.0,2243.0,1650.0
group,3148.0,549.0,6285.0,4741.0,101552.0,199.0,2378.0
bitch,2694.0,1413.0,77.0,102.0,7232.0,0.0,1406.0
comment,3202.0,2364.0,3525.0,5092.0,36907.0,2025.0,181.0
name,2780.0,3573.0,0.0,0.0,60591.0,5688.0,1794.0
meeting,3222.0,9233.0,2050.0,1596.0,60409.0,3703.0,2169.0
version,3634.0,2069.0,1831.0,949.0,16912.0,1651.0,580.0
shit,6821.0,2279.0,7479.0,1236.0,36838.0,3328.0,1206.0
captivity,2274.0,346.0,0.0,657.0,6809.0,324.0,1855.0
kherson region,2220.0,0.0,0.0,0.0,0.0,0.0,525.0
leg,2375.0,558.0,910.0,1053.0,8424.0,527.0,1025.0
volunteer,2864.0,1959.0,1824.0,0.0,35961.0,685.0,1190.0
fuck off,2204.0,0.0,280.0,0.0,0.0,0.0,53.0
katsap,2171.0,0.0,0.0,0.0,1337.0,0.0,318.0
"""object""",2222.0,0.0,0.0,0.0,0.0,0.0,0.0
blood,2162.0,2111.0,3131.0,2365.0,35666.0,2856.0,1164.0
goal,3850.0,6235.0,925.0,14350.0,46667.0,56.0,61.0
pile,2119.0,0.0,111.0,0.0,2860.0,0.0,40.0
victim,2199.0,5686.0,8654.0,9499.0,48086.0,6141.0,1663.0
message,2237.0,4837.0,5207.0,4424.0,49163.0,4359.0,1097.0
un,2096.0,21433.0,9533.0,0.0,122188.0,10804.0,2830.0
site,2094.0,75.0,5104.0,0.0,29727.0,4416.0,0.0
cat,5372.0,736.0,1007.0,527.0,23939.0,1079.0,1305.0
reason,2085.0,6326.0,14244.0,13061.0,69742.0,11042.0,0.0
shop,2227.0,0.0,907.0,228.0,28633.0,353.0,995.0
condition,2060.0,2667.0,4032.0,4002.0,25993.0,2782.0,1151.0
happiness,2058.0,3004.0,405.0,0.0,9097.0,624.0,773.0
sense,3027.0,2148.0,5343.0,5233.0,27689.0,3463.0,34.0
future,2043.0,3579.0,4685.0,7200.0,63719.0,4814.0,1193.0
poroshenko,2037.0,181.0,395.0,269.0,1777.0,291.0,421.0
dream,2165.0,1807.0,1815.0,1093.0,24360.0,1361.0,1038.0
way,3240.0,123.0,10531.0,2619.0,203039.0,5401.0,604.0
event,2031.0,3242.0,3066.0,3699.0,60584.0,2748.0,1288.0
occupation,2513.0,1883.0,1926.0,1255.0,32503.0,3136.0,48.0
neighbor,2325.0,1873.0,929.0,3144.0,14602.0,1259.0,52.0
post,2793.0,2964.0,2576.0,2245.0,55804.0,925.0,0.0
ꑭ,2014.0,0.0,0.0,0.0,961.0,0.0,0.0
soldier,2205.0,19097.0,16895.0,29470.0,235466.0,23771.0,4374.0
color,2107.0,1553.0,1400.0,1222.0,16118.0,2116.0,665.0
muscovite,2301.0,92.0,113.0,0.0,1448.0,188.0,281.0
fire,3278.0,11294.0,9760.0,4347.0,108961.0,8982.0,3430.0
experience,2235.0,1524.0,896.0,1885.0,24518.0,1015.0,547.0
sanction,1990.0,18040.0,31631.0,29644.0,187748.0,21549.0,3460.0
turn,2225.0,435.0,0.0,733.0,8835.0,130.0,206.0
saturday,3030.0,3643.0,15192.0,2277.0,22670.0,3426.0,337.0
participation,1974.0,0.0,1278.0,2061.0,7872.0,1311.0,1030.0
trellis,1965.0,0.0,0.0,0.0,0.0,82.0,0.0
childhood,1961.0,755.0,339.0,290.0,3634.0,406.0,339.0
pity,2010.0,333.0,0.0,583.0,3208.0,355.0,0.0
conversation,2100.0,3089.0,923.0,7470.0,18593.0,980.0,191.0
$,1929.0,3635.0,2541.0,3173.0,3001.0,0.0,775.0
protection,2286.0,1934.0,1762.0,4098.0,22085.0,2210.0,971.0
infrastructure,1919.0,3787.0,2868.0,4987.0,49438.0,3315.0,1071.0
data,1913.0,110.0,0.0,1406.0,6253.0,127.0,1681.0
genocide,1911.0,4026.0,3609.0,7736.0,93186.0,2507.0,1192.0
brother,1932.0,2102.0,2233.0,826.0,29109.0,1904.0,1290.0
chain,2096.0,1749.0,566.0,340.0,15380.0,5017.0,141.0
base,1900.0,4978.0,0.0,1217.0,28367.0,4580.0,1690.0
sea,1898.0,6150.0,4303.0,2597.0,57588.0,1015.0,1611.0
animal,1887.0,1272.0,1549.0,1211.0,32699.0,1406.0,831.0
"""mew""",1885.0,0.0,0.0,0.0,0.0,0.0,0.0
law,1873.0,5517.0,6951.0,2387.0,131597.0,4203.0,1258.0
hello,2415.0,360.0,102.0,2424.0,1481.0,604.0,1258.0
damn,2164.0,0.0,1929.0,736.0,2430.0,102.0,968.0
cottage,2044.0,62.0,68.0,0.0,0.0,49.0,0.0
hospital,2216.0,4399.0,5575.0,2104.0,48558.0,3287.0,1313.0
sound,1874.0,604.0,672.0,114.0,11998.0,0.0,521.0
aggression,1842.0,0.0,5586.0,3390.0,58119.0,60.0,973.0
face,2758.0,1238.0,6431.0,3861.0,55237.0,17920.0,1932.0
doctor,2263.0,1561.0,1811.0,0.0,19406.0,1411.0,700.0
joke,3293.0,1176.0,1669.0,1446.0,23127.0,982.0,831.0
struggle,1843.0,3492.0,1834.0,0.0,10653.0,2308.0,949.0
family,2427.0,6738.0,5932.0,6608.0,126815.0,6827.0,1914.0
team,2056.0,223.0,262.0,2756.0,77357.0,4561.0,626.0
culture,1801.0,2587.0,3339.0,2898.0,33259.0,2981.0,719.0
teaching,1852.0,152.0,112.0,0.0,2664.0,0.0,0.0
belarus,2057.0,5902.0,4668.0,1659.0,79778.0,4624.0,3519.0
map,2240.0,2466.0,1871.0,2274.0,36467.0,205.0,1475.0
gift,2689.0,927.0,1949.0,870.0,31394.0,1136.0,157.0
rossiyasmotry,1776.0,0.0,0.0,0.0,0.0,0.0,0.0
girlfriend,2317.0,0.0,0.0,554.0,3413.0,193.0,331.0
page,1766.0,1050.0,2421.0,18537.0,21075.0,1245.0,601.0
taste,1761.0,658.0,642.0,0.0,3804.0,464.0,212.0
sum,1885.0,0.0,269.0,0.0,2236.0,664.0,568.0
unit,2469.0,5666.0,3440.0,2453.0,49730.0,4982.0,713.0
daughter,2788.0,2275.0,1403.0,1552.0,21071.0,328.0,656.0
tear,1742.0,539.0,1127.0,743.0,11733.0,785.0,0.0
list,2044.0,2906.0,3812.0,2576.0,45727.0,2657.0,1019.0
ok,2278.0,0.0,536.0,3309.0,1720.0,233.0,216.0
familiar,1730.0,936.0,377.0,0.0,0.0,0.0,99.0
hatred,1776.0,0.0,66.0,0.0,8433.0,98.0,618.0
horror,1940.0,2101.0,3794.0,844.0,21907.0,2918.0,669.0
vacancy,1726.0,0.0,0.0,0.0,1770.0,0.0,0.0
food,2321.0,3424.0,2942.0,779.0,112365.0,2609.0,910.0
service,3201.0,7113.0,8667.0,1977.0,96552.0,8251.0,1789.0
stock,2349.0,0.0,93.0,328.0,69042.0,1822.0,2199.0
organization,1695.0,3937.0,2501.0,2206.0,34270.0,3108.0,840.0
vinnitsa,1690.0,87.0,79.0,0.0,1558.0,96.0,420.0
south,1687.0,5729.0,4594.0,3012.0,47599.0,6523.0,1977.0
regime,1687.0,6571.0,8687.0,7055.0,85441.0,0.0,0.0
package,1975.0,3338.0,2713.0,476.0,24655.0,337.0,193.0
winter,1677.0,3545.0,2380.0,5493.0,39893.0,2382.0,879.0
ammunition,1913.0,5459.0,3801.0,6207.0,36498.0,5261.0,2172.0
april,1671.0,3372.0,3992.0,3285.0,38439.0,4157.0,1385.0
with,2218.0,681.0,0.0,1036.0,0.0,408.0,211.0
beauty,2337.0,707.0,750.0,130.0,13335.0,403.0,765.0
"""interview""",1656.0,0.0,0.0,0.0,0.0,0.0,0.0
fuck,4045.0,1290.0,8337.0,1620.0,26760.0,948.0,1508.0
policy,1644.0,6014.0,76.0,242.0,71826.0,9763.0,1419.0
class,1675.0,1962.0,1759.0,1142.0,27512.0,1415.0,775.0
kharkiv region,1642.0,0.0,0.0,0.0,0.0,0.0,40.0
age,2009.0,1829.0,1393.0,248.0,25185.0,1462.0,394.0
court,2430.0,5817.0,4696.0,3165.0,56978.0,4343.0,1884.0
field,1709.0,4294.0,7291.0,899.0,25969.0,2463.0,1393.0
season,1619.0,5192.0,952.0,88.0,24000.0,907.0,695.0
direct,1800.0,89.0,4851.0,0.0,0.0,5052.0,18.0
may,1906.0,5098.0,5182.0,4483.0,25368.0,4741.0,1991.0
km,1605.0,1705.0,0.0,2674.0,26245.0,86.0,971.0
son,1600.0,6526.0,10185.0,1888.0,33392.0,2968.0,1499.0
serial,1597.0,0.0,0.0,0.0,0.0,54.0,0.0
appeal,1651.0,119.0,3544.0,807.0,13830.0,646.0,972.0
hope,1705.0,1725.0,4085.0,4078.0,41459.0,3066.0,461.0
aha,1617.0,0.0,0.0,108.0,0.0,0.0,24.0
concert,1586.0,1466.0,1258.0,649.0,11155.0,1454.0,830.0
example,1581.0,3185.0,3684.0,5724.0,27706.0,3229.0,650.0
steal,1577.0,0.0,144.0,0.0,1132.0,0.0,0.0
content,1841.0,1109.0,729.0,149.0,22130.0,655.0,359.0
building,1927.0,6362.0,5443.0,2431.0,71306.0,4487.0,1324.0
arrival,2049.0,2174.0,0.0,599.0,11787.0,1893.0,1598.0
"""health""",1552.0,0.0,0.0,0.0,0.0,0.0,0.0
statement,1738.0,4363.0,1325.0,8264.0,50693.0,5056.0,1589.0
grandmother,2349.0,540.0,56.0,134.0,3963.0,224.0,442.0
reality,2165.0,4786.0,7592.0,6273.0,42202.0,5307.0,909.0
october,1537.0,1744.0,1789.0,1669.0,15673.0,1981.0,642.0
summer,1752.0,1577.0,1302.0,1416.0,25068.0,915.0,737.0
business,1609.0,7218.0,4898.0,14495.0,391093.0,10304.0,1173.0
september,1528.0,2122.0,2814.0,1663.0,17852.0,2192.0,905.0
thread,1654.0,3483.0,1580.0,2373.0,36617.0,2588.0,398.0
line,1861.0,5792.0,9237.0,4448.0,84838.0,8181.0,1023.0
choice,1512.0,3592.0,4074.0,5110.0,31036.0,3431.0,1119.0
form,1504.0,53.0,1833.0,0.0,16983.0,326.0,594.0
step,1563.0,93.0,4089.0,3918.0,37509.0,117.0,597.0
general staff,1894.0,0.0,0.0,1866.0,0.0,0.0,2861.0
donate,1541.0,0.0,0.0,791.0,0.0,0.0,98.0
relation,2113.0,0.0,2680.0,2614.0,28223.0,0.0,0.0
projectile,1552.0,2000.0,0.0,0.0,3413.0,284.0,1831.0
donbas,1479.0,2791.0,1810.0,2844.0,62591.0,22319.0,0.0
limit,1666.0,1158.0,2027.0,240.0,10418.0,1902.0,377.0
badge,1556.0,780.0,0.0,0.0,2192.0,229.0,176.0
offensive,1477.0,5091.0,3127.0,3908.0,32408.0,7078.0,1990.0
gas,1505.0,14896.0,33620.0,26467.0,157264.0,17018.0,2074.0
appearance,1954.0,658.0,435.0,1620.0,4888.0,886.0,198.0
context,1473.0,1357.0,990.0,1216.0,9916.0,1929.0,175.0
hundred,1512.0,557.0,2628.0,1915.0,27861.0,3384.0,0.0
